Institution,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/Precipitation,Sunny Days
United States Naval Academy,Annapolis,MD,43°/28°,66°/46°,87°/70°,68°/51°,113,213
University of California-Berkeley,Berkeley,CA,58°/44°,66°/49°,72°/55°,72°/53°,67,256
Western Carolina University,Cullowhee,NC,48°/24°,67°/40°,83°/61°,68°/42°,137,212
Hanover College,Hanover,IN,41°/21°,67°/41°,86°/64°,69°/43°,98,194
University of North Carolina at Asheville,Asheville,NC,47°/25°,67°/42°,84°/62°,68°/43°,118,212
Warren Wilson College,Swannanoa,NC,48°/26°,67°/42°,84°/63°,68°/44°,125,212
Kansas State University,Manhattan,KS,40°/17°,67°/42°,90°/68°,69°/43°,91,218
Towson University,Towson,MD,42°/25°,67°/43°,87°/66°,68°/46°,121,212
Goucher College,Baltimore,MD,42°/25°,67°/43°,87°/66°,68°/46°,122,213
Missouri University of Science and Technology,Rolla,MO,41°/21°,67°/44°,88°/67°,68°/45°,193,115
Centre College,Danville,KY,42°/25°,67°/44°,86°/66°,69°/46°,106,188
Salisbury University,Salisbury,MD,46°/27°,67°/44°,88°/67°,70°/47°,108,207
American University,Washington,DC,43°/27°,67°/45°,89°/69°,69°/48°,114,203
Catholic University of America,Washington,DC,43°/27°,67°/45°,89°/69°,69°/48°,114,203
George Washington University,Washington,DC,43°/27°,67°/45°,89°/69°,69°/48°,114,203
Howard University,Washington,DC,43°/27°,67°/45°,89°/69°,69°/48°,114,203
The University of the South,Sewanee,TN,45°/26°,67°/45°,85°/65°,69°/46°,119,204
University of Virginia-Main Campus,Charlottesville,VA,44°/26°,67°/45°,86°/67°,67°/47°,108,219
Saint Louis University,Saint Louis,MO,40° 23°,67°/46°,89°69°,69°/47°,105,202
Johns Hopkins University,Baltimore,MD,43°/27°,67°/46°,88°/69°,68°/49°,114,213
University of Maryland-Baltimore County,Baltimore,MD,43°/27°,67°/46°,88°/69°,68°/49°,114,213
Loyola University Maryland,Baltimore,MD,43°/27°,67°/46°,88°/69°,88°/69°,114,213
Washington University in St Louis,Saint Louis,MO,40°/23°,67°/47°,89°/70°,69°/48°,102,202
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,62°/43°,67°/47°,74°/54°,73°/51°,51,287
Westmont College,Santa Barbara,CA,63°/43°,67°/49°,73°/58°,72°/53°,38,282
University of California-Santa Barbara,Santa Barbara,CA,63°/43°,67°/49°,73°/58°,72°/53°,38,283
Marshall University,Huntington,WV,43°/24°,68°/42°,68°/42°,69°/43°,135,162
University of Mary Washington,Fredericksburg,VA,45°/24°,68°/42°,88°/66°,70°/44°,117,198
Eastern Kentucky University,Richmond,KY,43°/24°,68°/43°,86°/65°,69°/45°,119,190
Roanoke College,Salem,VA,46°/26°,68°/44°,87°/65°,69°/46°,121,210
Wichita State University,Wichita,KS,43°/22°,68°/45°,92°/69°,70°/46°,79.5,225
University of Louisville,Louisville,KY,42°/26°,68°/46°,88°/68°,69°/47°,115,195
University of San Diego,San Diego,CA,66°/49°,68°/56°,75°/65°,73°/61°,38,263
Sonoma State University,Rohnert Park,CA,58°/38°,69°/44°,82°/52°,77°/47°,75,255
Berea College,Berea,KY,44°/26°,69°/45°,86°/65°,69°/46°,121,187
University of Arkansas,Fayetteville,AR,46°/25°,69°/45°,89°/67°,70°/46°,101,218
Saint Mary's College of California,Moraga,CA,57°/40°,69°/46°,69°/46°,75°50°,66,260
College of William and Mary,Williamsburg,VA,48°/30°,69°/47°,88°/69°,71°/51°,212,116
Stanford University,Stanford,CA,58°/41°,69°/47°,80°/57°,74°/51°,61,260
San Jose State University,San Jose,CA,58°/42°,69°/48°,82°/58°,74°/52°,62,257
Old Dominion University,Norfolk,VA,49°/33°,69°/49°,88°/72°,88°/72°,115,215
Santa Clara University,Santa Clara,CA,58°/42°,69°/49°,80°/58°,74°53°,63,261
Washington and Lee University,Lexington,VA,46°/23°,70°/40°,88°/64°,70°/43°,102.8,218
Virginia Military Institute,Lexington,VA,46°/23°,70°/40°,88°/64°,70°/43°,103,218
University of North Georgia,Dahlonega,GA,50°/26°,70°/41°,86°/63°,71°/44°,117,222
The University of Tennessee-Knoxville,Knoxville,TN,47°/28°,70°/45°,88°/68°,82°/59°,127,204
Randolph-Macon College,Ashland,VA,47°/27°,70°/45°,89°/68°,70°/47°,107,207
Belmont University,Nashville,TN,47°/27°,70°/45°,89°/68°,72°/46°,120,208
Virginia Commonwealth University,Richmond,VA,47°/28°,70°/45°,90°/68°,71°/47°,112,210
Wake Forest University,Winston-Salem,NC,48°/27°,70°/45°,87°/67°,70°/47°,107.1,216
Vanderbilt University,Nashville,TN,47°/27°,70°/46°,89°/68°,72°/47°,117,205
University of Richmond,University of Richmond,VA,47°/28°,70°/46°,89°/68°,70°/48°,111.9,211
Murray State University,Murray,KY,45°/27°,70°/47°,89°/69°,71°48°,109,197
Christopher Newport University,Newport News,VA,49°/33°,70°/49°,89°/71°,71°/53°,113,215
San Diego State University,San Diego,CA,67°/46°,70°/53°,79°/64°,75°/57°,38,266
University of Southern California,Los Angeles,CA,66°/48°,70°/53°,79°/63°,75°/58°,32,292
University of New Mexico-Main Campus,Albuquerque,NM,49°/24°,71°/40°,92°/63°,71°/43°,57,280
University of California-Santa Cruz,Santa Cruz,CA,61°/39°,71°/44°,82°/53°,76°/47°,68,260
University of North Carolina at Chapel Hill,Chapel Hill,NC,50°/29°,71°/46°,89°/69°,72°/48°,114,216
University of North Carolina at Greensboro,Greensboro,NC,49°/30°,71°/47°,89°/69°,71°/49°,111,217
California State University-Long Beach,Long Beach,CA,67°/46°,71°/53°,79°/63°,76°/58°,32,287
Oklahoma State University-Main Campus,Stillwater,OK,48°/23°,72°/45°,93°/70°,73°/47°,68,268
The University of Tennessee-Chattanooga,Chattanooga,TN,50°/29°,72°/46°,89°/68°,73°/48°,99,207
Davidson College,Davidson,NC,51°/28°,72°/46°,89°/68°,72°/47°,107,214
Elon University,Elon,NC,49°/28°,72°/46°,89°/68°,72°/47°,111,216
Hendrix College,Conway,AR,49°/26°,72°/46°,92°/69°,74°/47°,97,219
Duke University,Durham,NC,50°/30°,72°/46°,89°/69°,72°/48°,109,220
North Carolina State University at Raleigh,Raleigh,NC,51°/30°,72°/47°,90°/69°,72°/49°,108,213
High Point University,High Point,NC,50°/30°,72°/47°,89°/69°,72°/49°,111,217
University of North Carolina at Charlotte,Charlotte,NC,51°/30°,72°/47°,90°/69°,72°/49°,105,218
University of Georgia,Athens,GA,53°/32°,72°/48°,90°/69°,73°/51°,111.6,218
Furman University,Greenville,SC,51°/31°,72°/48°,90°/69°,72°/50°,105,220
University of Tulsa,Tulsa,OK,48°/26°,72°/48°,93°/71°,73°/49°,79,230
University of Oklahoma-Norman Campus,Norman,OK,49°/26°,72°/48°,93°/71°,73°/49°,79.6,235
Occidental College,Los Angeles,CA,67°/46°,72°/51°,84°/62°,78°/56°,34,184
University of Memphis,Memphis,TN,49°/31°,72°/51°,91°/73°,74°/52°,110.9,214
Rhodes College,Memphis,TN,49°/30°,72°/51°,91°/72°,74°/51°,108,218
Loyola Marymount University,Los Angeles,CA,67°/46°,72°/51°,84°/62°,78°/56°,34,284
University of California-Los Angeles,Los Angeles,CA,67°/46°,72°/51°,84°/62°,78°/56°,34,284
Austin College,Sherman,TX,52°/32°,72°/52°,92°/73°,75°/54°,80,227
University of California-Irvine,Irvine,CA,68°/46°,72°/53°,82°/64°,78°/57°,36,281
Berry College,Mount Berry,GA,52°/30°,73°/47°,90°/69°,74°/48°,102,216
University of California-Davis,Davis,CA,54°/39°,73°/47°,94°/59°,79°/50°,67,265
Clemson University,Clemson,SC,53°/31°,73°/48°,90°/69°,73°/50°,108,222
Pepperdine University,Malibu,CA,67°/45°,73°/49°,86°/59°,79°/54°,36,181
Georgia State University,Atlanta,GA,52°/33°,73°/49°,88°/70°,73°/52°,109,217
Morehouse College,Atlanta,GA,52°/33°,73°/49°,88°/70°,73°/52°,109,217
Spelman College,Atlanta,GA,52°/33°,73°/49°,88°/70°,73°/52°,109,217
Agnes Scott College,Decatur,GA,52°/33°,73°/49°,88°70°,72°/52°,109,218
Saint Michael's College,Colchester,VT,67°/45°,73°/49°,86°/59°,79°/54°,36,281
Siena College,Loudonville,NY,67°/45°,73°/49°,86°/59°,79°/54°,36,281
Soka University of America,Aliso Viejo,CA,67°/43°,73°/49°,73°/49°,78°/54°,37,281
University of California-Merced,Merced,CA,54°/37°,74°/45°,95°/60°,79°/48°,55,262
University of the Pacific,Stockton,CA,55°/38°,74°/46°,93°/59°,79°/49°,59.6,261
Presbyterian College,Clinton,SC,53°/30°,74°/47°,91°/69°,74°/48°,100,221
Winthrop University,Rock Hill,SC,52°/31°,74°/48°,91°/70°,73°/50°,99,214
University of Mississippi,University,MS,52°/29°,74°/48°,92°/70°,76°/49°,103,215
Birmingham Southern College,Birmingham,AL,54°/32°,74°/49°,90°/70°,75°/51°,112,213
University of Alabama at Birmingham,Birmingham,AL,54°/32°,74°/49°,90°/70°,75°/51°,112,213
University of North Carolina Wilmington,Wilmington,NC,56°/34°,74°/50°,90°/72°,76°/54°,119,215
East Carolina University,Greenville,NC,54°/34°,74°/50°,90°/71°,75°/52°,109,216
Coastal Carolina University,Conway,SC,56°/34°,74°/51°,89°/72°,76°/54°,106,212
Chapman University,Orange,CA,69°/46°,74°/52°,85°/63°,80°/57°,35,277
California State University-Fullerton,Fullerton,CA,69°/46°,74°/52°,85°/64°,80°/57°,32,283
California Institute of Technology,Pasadena,CA,68°/45°,74°/52°,88°/64°,81°/56°,40,286
Citadel Military College of South Carolina,Charleston,SC,58°/39°,74°/56°,90°/75°,77°/59°,106,209
College of Charleston,Charleston,SC,58°/39°,74°/56°,90°/75°,77°/59°,106,209
New Mexico Institute of Mining and Technology,Socorro,NM,53°/21°,75°/39°,93°/62°,75°/40°,47,280
Wofford College,Spartanburg,SC,53°/27°,75°/43°,91°/66°,74°/46°,109,221
California State University-Fresno,Fresno,CA,55°/38°,75°/48°,98°/66°,80°/52°,48,271
Auburn University,Auburn,AL,56°/33°,75°/49°,90°/70°,76°/53°,108,217
California State Polytechnic University-Pomona,Pomona,CA,67°/42°,75°/49°,91°/62°,81°/54°,32,285
Mississippi State University,Mississippi State,MS,53°/31°,75°/50°,92°/71°,76°/51°,100,216
University of North Texas,Denton,TX,56°/32°,75°/52°,96°/73°,78°/54°,75,228
Whittier College,Whittier,CA,69°/47°,75°/53°,85°/64°,80°/58°,27,278
The University of Texas at Dallas,Richardson,TX,56°/34°,75°/54°,95°/74°,78°/56°,80,230
University of Dallas,Irving,TX,55°/35°,75°/54°,95°/75°,78°/56°,79,232
University of California-Riverside,Riverside,CA,68°/42°,76°/49°,94°/63°,83°/54°,34,277
Mercer University,Macon,GA,57°/34°,76°/50°,92°/70°,77°/53°,102,119
The University of Alabama,Tuscaloosa,AL,55°/34°,76°/50°,92°/71°,77°/52°,107,214
Claremont McKenna College,Claremont,CA,67°/43°,76°/50°,92°/63°,81°/55°,32,282
Harvey Mudd College,Claremont,CA,67°/43°,76°/50°,92°/63°,81°/55°,32,282
Pitzer College,Claremont,CA,67°/43°,76°/50°,92°/63°,81°/55°,32,282
Pomona College,Claremont,CA,67°/43°,76°/50°,76°/50°,81°/55°,32,282
Scripps College,Claremont,CA,67°/43°,76°/50°,92°/63°,81°/55°,32,282
Millsaps College,Jackson,MS,57°/35°,76°/52°,92°/71°,78°/53°,104,211
Texas Christian University,Fort Worth,TX,57°/35°,76°/54°,96°/74°,78°/56°,79,229
The University of Texas at Arlington,Arlington,TX,57°/34°,76°/54°,95°/74°,78°/55°,77,235
Southern Methodist University,Dallas,TX,56°/36°,76°/55°,95°/75°,78°/56°,78,234
Seattle University,Seattle,WA,48°/37°,76°/57°,76°/57°,60°/46°,155,152
University of Redlands,Redlands,CA,68°/40°,77°/47°,97°/61°,84°/52°,38,282
Georgia College & State University,Milledgeville,GA,57° /3°,77°/49°,93°/70°,77°/52°,96,219
Baylor University,Waco,TX,59°/35°,77°/54°,95°/74°,80°/56°,76,230
University of North Florida,Jacksonville,FL,64°/46°,77°/59°,91°/74°,80°/65°,112,221
Georgia Southern University,Statesboro,GA,59°/36°,78°/51°,93°/71°,79°/54°,99,214
University of South Carolina-Columbia,Columbia,SC,57°/36°,78°/52°,94°/72°,77°/54°,108.9,218
University of Nevada-Las Vegas,Las Vegas,NV,58°/37°,78°/53°,104°/78°,80°/56°,26,294
Sam Houston State University,Huntsville,TX,60°/40°,78°/56°,93°/73°,81°/58°,82,204
University of Louisiana at Lafayette,Lafayette,LA,61°/42°,78°/58°,91°/73°,80°/59°,108,217
New Mexico State University-Main Campus,Las Cruces,NM,58°/27°,78°44°,95°/67°,79°/46°,43,293
Southwestern University,Georgetown,TX,60°/36°,79°/54°,95°/72°,81°/56°,73,229
Texas A & M University-College Station,College Station,TX,61°/39°,79°/56°,95°/73°,82°/58°,90,209
Louisiana State University,Baton Rouge,LA,61°/40°,79°/56°,92°/73°,80°/57°,109,214
The University of Texas at Austin,Austin,TX,61°/38°,79°/56°,95°/73°,81°/58°,79,228
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,68°/47°,79°/59°,90°/73°,82°/66°,119,229
Rice University,Houston,TX,63°43°,79°/60°,93°/75°,82°/61°,90,204
University of Houston,Houston,TX,63°/45°,79°/61°,92°/76°,82°/63°,86,204
Tulane University of Louisiana,New Orleans,LA,62°/45°,79°/61°,92°/76°,80°/64°,108,216
Florida Agricultural and Mechanical University,Tallahassee,FL,64°/39°,80°/52°,92°/71°,82°/57°,103,233
Florida State University,Tallahassee,FL,64°/39°,80°/52°,92°/71°,82°/57°,103,23
Texas State University,San Marcos,TX,62°/39°,80°/57°,94°/73°,82°/58°,83,232
University of Florida,Gainesville,FL,67°/41°,81°/54°,92°/71°,82°/59°,113,224
Trinity University,San Antonio,TX,63°/41°,81°/58°,94°/74°,82°/60°,83,220
Florida Institute of Technology,Melbourne,FL,72°/49°,81°/59°,91°/73°,84°/67°,122,236
The University of Tampa,Tampa,FL,70°/53°,81°/64°,91°/76°,84°/69°,102,244
Eckerd College,Saint Petersburg,FL,70°/53°,81°/64°,91°/76°,84°/69°,103,244
Florida International University,Miami,FL,75°/61°,81°/69°,89°/78°,85°/74°,129,248
Stetson University,DeLand,FL,70°/47°,82°/58°,82°/58°,84°/65°,120,232
Rollins College,Winter Park,FL,71°/49°,82°/61°,92°/75°,84°/67°,117,238
New College of Florida,Sarasota,FL,72°/51°,82°/61°,91°/74°,85°/67°,106,251
University of South Florida-Main Campus,Tampa,FL,71°/51°,82°/62°,91°/75°,85°/68°,109,244
Florida Atlantic University,Boca Raton,FL,76°/58°,82°/66°,90°/76°,86°/72°,144,234
University of Miami,Coral Gables,FL,75°/61°,82°/69°,89°/78°,85°/74°,130,249
University of Arizona,Tucson,AZ,66°/39°,83°/51°,100°/74°,86°/56°,52,286
University of Central Florida,Orlando,FL,71°/49°,83°/60°,92°/74°,85°/66°,114,233
Florida Southern College,Lakeland,FL,73°/50°,84°/60°,92°/73°,85°/66°,115,240
Columbia University in the City of New York,New York,NY,39°/26°,84°/69°,84°/69°,64°/50°,119,224
Arizona State University-Tempe,Tempe,AZ,68°/42°,85°/55°,104° /78°,88°/59°,36,300
Colorado State University-Fort Collins,Fort Collins,CO,44°/15°,87°/57°,87°/57°,64°/34°,237,237
St. Mary's College of Maryland,St. Mary's City,MD,45°/28°,88°/70°,88°/70°,69°/51°,120,205
